structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
11	1	N/A	-129.84655702904098	C6H12N4	[M + H]+	AWLPUHLEODYMHA	InChI=1S/C6H12N4/c1-3-9(4-1)7-8-10-5-2-6-10/h1-6H2	bis(azetidin-1-yl)diazene	C1CN(C1)N=NN2CCC2	1.79999995	333504;5864596;98540779	PubChem:(333504 5864596 98540779)	2
12	1	N/A	-130.71752777128833	C6H12N4	[M + H]+	OSHLPFOZVGRCLH	InChI=1S/C6H12N4/c1-2-8-6-10-4-3-9-5-7-1/h5-6H,1-4H2,(H,7,9)(H,8,10)	null	C1CN=CNCCN=CN1	-1.5	3253034	PubChem:(3253034)	2
13	1	N/A	-134.94151678930194	C6H12N4	[M + H]+	MUNNGHYIRXWJLC	InChI=1S/C6H12N4/c7-1-2-9-3-5-10(8)6-4-9/h2-6,8H2	null	C1CN(CCN1CC#N)N	-0.899999976	87496825	PubChem:(87496825)	2
14	1	N/A	-137.59609361912982	C6H12N4	[M + H]+	HWWZIGRBRDWURM	InChI=1S/C6H12N4/c1-6-2-9-3-8(1)4-10(5-9)7-6/h6-7H,1-5H2	null	C1C2CN3CN1CN(C3)N2	-0.200000003	53900691	PubChem:(53900691)	2
15	1	N/A	-139.17118730715703	C6H12N4	[M + H]+	AAFUDZNESPLBPP	InChI=1S/C6H12N4/c7-1-3-9-5-6-10-4-2-8/h1,4-5,7H,2-3,6,8H2	null	C(C=NCC=NCC=N)N	-1.5	57316228	PubChem:(57316228)	2
16	1	N/A	-140.04108566681842	C6H12N4	[M + H]+	MOJNRIIBOAUXMO	InChI=1S/C6H12N4/c1-9(6-7)10-4-2-8-3-5-10/h8H,2-5H2,1H3	null	CN(C#N)N1CCNCC1	0.100000001	88743496	PubChem:(88743496)	2
17	1	N/A	-141.40318980599886	C6H12N4	[M + H]+	YDBVOIOWLRNAPS	InChI=1S/C6H12N4/c1-3-8-6(9-4-2)10-5-7/h3-4H2,1-2H3,(H2,8,9,10)	null	CCNC(=NCC)NC#N	0.300000012	12594251	PubChem:(12594251)	2
18	1	N/A	-142.4760533158185	C6H12N4	[M + H]+	JOROCMCXNDPVEH	InChI=1S/C6H12N4/c7-1-2-9-10-5-3-8-4-6-10/h8-9H,2-6H2	2-(piperazin-1-ylamino)acetonitrile	C1CN(CCN1)NCC#N	-0.800000012	20471826	PubChem:(20471826)	2
19	1	N/A	-144.10075792285343	C6H12N4	[M + H]+	QAHFRZHSRGLQAQ	InChI=1S/C6H12N4/c1-3-7-5-9-6(10-5)8-4-2/h3-4H2,1-2H3,(H2,7,8,9,10)	null	CCN=C1NC(=NCC)N1	0.200000003	137202755	PubChem:(137202755)	2
20	1	N/A	-144.51358393163895	C6H12N4	[M + H]+	VNHZPULPXBNZGO	InChI=1S/C6H12N4/c1-5(2)6(3,4)8-10-9-7-5/h1-4H3	null	CC1(C(N=NN=N1)(C)C)C	1.79999995	129818857	PubChem:(129818857)	2
21	1	N/A	-146.31243964952915	C6H12N4	[M + H]+	HRWJSQLMXABYPQ	InChI=1S/C6H12N4/c1-10(2)6(8)9-5-3-4-7/h3,5H2,1-2H3,(H2,8,9)	null	CN(C)C(=NCCC#N)N	-1.0	130979413	PubChem:(130979413)	2
22	1	N/A	-146.7636582206619	C6H12N4	[M + H]+	LVTQLTAZCREVEE	InChI=1S/C6H12N4/c1-4-8-5(2)10-6(3-7)9-4/h4-6,8-10H,1-2H3	null	CC1NC(NC(N1)C#N)C	-0.300000012	134478801	PubChem:(134478801)	2
23	1	N/A	-149.24982827353463	C6H12N4	[M + H]+	MAUVQXYPVXJALK	InChI=1S/C6H12N4/c1-7-9-3-5-10(8-2)6-4-9/h1-6H2	N-[4-(methylideneamino)piperazin-1-yl]methanimine	C=NN1CCN(CC1)N=C	3.5	59998632	PubChem:(59998632)	2
24	1	N/A	-150.99639972215502	C6H12N4	[M + H]+	CYFPVACSJLXVCA	InChI=1S/C6H12N4/c1-3-4-9-6(8-2)10-5-7/h3-4H2,1-2H3,(H2,8,9,10)	1-cyano-2-methyl-3-propylguanidine	CCCNC(=NC)NC#N	0.5	23273424	PubChem:(23273424)	2
25	1	N/A	-151.1385376871142	C6H12N4	[M + H]+	VWXUFSKKCFLDBY	InChI=1S/C6H12N4/c1-5(2,3)6(4)7-9-10-8-6/h1-4H3	null	CC1(N=NN=N1)C(C)(C)C	2.79999995	69383914	PubChem:(69383914)	2
26	1	N/A	-152.23310431522557	C6H12N4	[M + H]+	MHFIZEQWHOGHLR	InChI=1S/C6H12N4/c1-3-7-5-2-6(8-3)10-4(1)9-5/h3-10H,1-2H2	null	C1C2NC3CC(N2)NC1N3	-0.800000012	139242710	PubChem:(139242710)	2
27	1	N/A	-154.68188271913723	C6H12N4	[M + H]+	XZFYWRFUUAOXHC	InChI=1S/C6H12N4/c1-9-2-4-10(5-3-9)8-6-7/h8H,2-5H2,1H3	null	CN1CCN(CC1)NC#N	0.400000006	83021575	PubChem:(83021575)	2
28	1	N/A	-156.06386203117734	C6H12N4	[M + H]+	DEJJVTWMGYOZOG	InChI=1S/C6H12N4/c7-5-9-1-2-10(6-8)4-3-9/h5-8H,1-4H2	null	C1CN(CCN1C=N)C=N	-0.800000012	123910953	PubChem:(123910953)	2
29	1	N/A	-156.11625794075977	C6H12N4	[M + H]+	AYSWRUAHWNOGLQ	InChI=1S/C6H12N4/c7-9-8-6-10-4-2-1-3-5-10/h1-6H2	null	C1CCN(CC1)CN=[N+]=[N-]	2.0999999	53669203	PubChem:(53669203)	2
30	1	N/A	-156.36086193066566	C6H12N4	[M + H]+	ADCBPCRSLGPCPS	InChI=1S/C6H12N4/c1-8-3-7-6-9(2)5-10(6)4-8/h3-5H2,1-2H3	null	CN1CN=C2N(CN2C1)C	-0.5	138478953	PubChem:(138478953)	2
31	1	N/A	-156.93214156611273	C6H12N4	[M + H]+	IZFJLKAAXADFKR	InChI=1S/C6H12N4/c1-3-2-5-8-4(1)9-6(7-3)10-5/h3-10H,1-2H2	null	C1C2CC3NC1NC(N2)N3	-0.800000012	139242709	PubChem:(139242709)	2
32	1	N/A	-157.21635806649053	C6H12N4	[M + H]+	SBQRMILCXCTUBH	InChI=1S/C6H12N4/c1-4-7-5-2-10(1)3-6(8-4)9-5/h4-9H,1-3H2	null	C1C2NC3CN1CC(N2)N3	-1.20000005	55286738	PubChem:(55286738)	2
33	1	N/A	-159.6596100715089	C6H12N4	[M + H]+	PHTBJBKDUPOTTR	InChI=1S/C6H12N4/c1-4(7)10(5(2)8)6(3)9/h1-3,7-9H2	null	C=C(N)N(C(=C)N)C(=C)N	1.10000002	21518897	PubChem:(21518897)	2
34	1	N/A	-160.81527833746634	C6H12N4	[M + H]+	RHTUIKSJPVMHCP	InChI=1S/C6H12N4/c7-1-3-9-5-6-10-4-2-8/h1-6,9-10H,7-8H2	null	C(=CNC=CNC=CN)N	-0.600000024	15839127;88419561	PubChem:(15839127 88419561)	2
35	1	N/A	-162.09279984542877	C6H12N4	[M + H]+	JPGMJJHHYWBNSD	InChI=1S/C6H13N4/c1-9(2)6(5-8-7)10(3)4/h5H,1-4H3/q+1	null	CN(C)C(=C[N+]#N)N(C)C	1.60000002	13448197	PubChem:(13448197)	2
36	1	N/A	-162.4920688304716	C6H12N4	[M + H]+	PMOXPRKGQZXEBZ	InChI=1S/C6H12N4/c1-6(2,3-7)4-10-5(8)9/h4H2,1-2H3,(H4,8,9,10)	null	CC(C)(CN=C(N)N)C#N	-0.699999988	130976673	PubChem:(130976673)	2
37	1	N/A	-163.71914253361206	C6H12N4	[M + H]+	JWSXBNMRWXZJLS	InChI=1S/C6H12N4/c7-9-8-3-1-4-10-5-2-6-10/h1-6H2	null	C1CN(C1)CCCN=[N+]=[N-]	1.70000005	126980700	PubChem:(126980700)	2
38	1	N/A	-163.75522199507725	C6H12N4	[M + H]+	XKTUGILARUUIPL	InChI=1S/C6H12N4/c1-8-6(9-2)10-5-3-4-7/h3,5H2,1-2H3,(H2,8,9,10)	null	CNC(=NC)NCCC#N	-0.800000012	131041484	PubChem:(131041484)	2
39	1	N/A	-164.20698985891138	C6H12N4	[M + H]+	ZRBGPRVKCCOKQU	InChI=1S/C6H12N4/c1-6(9-10-7)2-4-8-5-3-6/h8H,2-5H2,1H3	4-azido-4-methylpiperidine	CC1(CCNCC1)N=[N+]=[N-]	1.39999998	23282919	PubChem:(23282919)	2
40	1	N/A	-164.44509527329663	C6H12N4	[M + H]+	YOKBQYVACYYSEV	InChI=1S/C6H12N4/c1-2-8-5(7-1)6-9-3-4-10-6/h7-10H,1-4H2	Imidazolidine, 2-(2-imidazolidinylidene)-	C1CNC(=C2NCCN2)N1	0.400000006	23314144	PubChem:(23314144)	2
41	1	N/A	-164.7503665828912	C6H12N4	[M + H]+	FJSMSVBMHCBOCC	InChI=1S/C6H12N4/c7-9-5-1-2-6(10-8)4-3-5/h1-4,7-8H2	(4-hydrazinylidenecyclohexylidene)hydrazine	C1CC(=NN)CCC1=NN	-0.800000012	301102	PubChem:(301102)	2
42	1	N/A	-164.96760009443813	C6H12N4	[M + H]+	IIDULZSZDPRDPV	InChI=1S/C6H12N4/c7-9-5-2-1-3-6(4-5)10-8/h1-4,7-8H2	(3-hydrazinylidenecyclohexylidene)hydrazine	C1CC(=NN)CC(=NN)C1	-0.200000003	5151265;6285062;6392816;9609694	PubChem:(5151265 6285062 6392816 9609694)	2
43	1	N/A	-165.29340906657518	C6H12N4	[M + H]+	YRKCWCTVABFRBY	InChI=1S/C6H12N4/c1-5-7-10(4)6(2)8-9(5)3/h1-4H3	null	CC1=NN(C(=NN1C)C)C	0.800000012	13096225	PubChem:(13096225)	2
44	1	N/A	-166.1071778997892	C6H12N4	[M + H]+	GBRXHHBRVOKJRN	InChI=1S/C6H12N4/c1-10(2)6-3-5(7)8-4-9-6/h3-4H2,1-2H3,(H2,7,8)	6-N,6-N-dimethyl-2,5-dihydropyrimidine-4,6-diamine	CN(C)C1=NCN=C(C1)N	-1.39999998	59482056	PubChem:(59482056)	2
45	1	N/A	-166.13848679455583	C6H12N4	[M + H]+	IGHVGDCSIUTUFP	InChI=1S/C6H12N4/c7-10-9-5-6-1-3-8-4-2-6/h6,8H,1-5H2	4-(azidomethyl)piperidine	C1CNCCC1CN=[N+]=[N-]	1.39999998	13503221	PubChem:(13503221)	2
46	1	N/A	-166.55996756313286	C6H12N4	[M + H]+	HRAUXSUGJMYPDM	InChI=1S/C6H12N4/c7-6-1-8-3-9(2-6)5-10(6)4-8/h1-5,7H2	3H,5H-2,6-Methano-1H-imidazo[1,5-c]imidazol-7a(7H)-amine(9CI)	C1C2(CN3CN1CN2C3)N	-1.0	57357916	PubChem:(57357916)	2
47	1	N/A	-168.11097522582912	C6H12N4	[M + H]+	OKVUEXMFPMRCEK	InChI=1S/C6H13N4/c1-8(2)6-9(3)5-7-10(6)4/h5H,1-4H3/q+1	null	CN1C(=[N+](C=N1)C)N(C)C	0.600000024	102573643	PubChem:(102573643)	2
48	1	N/A	-168.98616228398126	C6H12N4	[M + H]+	WOQWCPHWOITJOF	InChI=1S/C6H12N4/c1-5(8-4)6(2,3)9-10-7/h1-4H3	null	CC(=NC)C(C)(C)N=[N+]=[N-]	1.79999995	130820605	PubChem:(130820605)	2
49	1	N/A	-170.01469929715117	C6H12N4	[M + H]+	BAZCXRFMTMSTSM	InChI=1S/C6H12N4/c1-5(2)3-7-6-8-4-9-10-6/h4-5H,3H2,1-2H3,(H2,7,8,9,10)	null	CC(C)CNC1=NC=NN1	1.60000002	82667925	PubChem:(82667925)	2
50	1	N/A	-170.4229380676663	C6H12N4	[M + H]+	JMKIBDVENBAGJF	InChI=1S/C6H12N4/c1-6(2)5(7-3)10(4)9-8-6/h1-4H3	N,3,5,5-tetramethyltriazol-4-imine	CC1(C(=NC)N(N=N1)C)C	0.800000012	14713395	PubChem:(14713395)	2
51	1	N/A	-172.7065513020721	C6H12N4	[M + H]+	XPRIZRLFZPKAMK	InChI=1S/C6H12N4/c7-8-9-10-5-3-1-2-4-6-10/h1-6H2	null	C1CCCN(CC1)N=[N+]=[N-]	2.03531337	67800001	PubChem:(67800001)	2
52	1	N/A	-172.94104229297474	C6H12N4	[M + H]+	MAOOVBWKVSQWTA	InChI=1S/C6H12N4/c1-2-8-6-5(7-1)9-3-4-10-6/h7-10H,1-4H2	null	C1CNC2=C(N1)NCCN2	0.400000006	118333684	PubChem:(118333684)	2
53	1	N/A	-173.89580416817842	C6H12N4	[M + H]+	NNCVEYHLONMJFB	InChI=1S/C6H12N4/c1-4-10(3)6(8-2)9-5-7/h4H2,1-3H3,(H,8,9)	3-cyano-1-ethyl-1,2-dimethylguanidine	CCN(C)C(=NC)NC#N	0.100000001	59020862	PubChem:(59020862)	2
54	1	N/A	-174.03360857957327	C6H12N4	[M + H]+	PKJVMIDWZFRMCF	InChI=1S/C6H12N4/c1-3-4-5-6(2)7-9-10-8-6/h3-5H2,1-2H3	null	CCCCC1(N=NN=N1)C	2.9000001	69384366	PubChem:(69384366)	2
55	1	N/A	-174.12109798889622	C6H12N4	[M + H]+	NGKJPYUHFKVHOJ	InChI=1S/C6H12N4/c1-6(2,3)10-5(8)9-4-7/h1-3H3,(H3,8,9,10)	2-tert-butyl-1-cyanoguanidine	CC(C)(C)N=C(N)NC#N	0.100000001	1550372;382485	PubChem:(1550372 382485)	2
56	1	N/A	-174.20241105598276	C6H12N4	[M + H]+	UDYHLFAQEWHYBF	InChI=1S/C6H12N4/c1-5-2-10-4-9(1)3-6(7-5)8-10/h5-8H,1-4H2	null	C1C2CN3CN1CC(N2)N3	-0.699999988	101568728	PubChem:(101568728)	2
57	1	N/A	-174.3999482494148	C6H12N4	[M + H]+	FBILVWGTLWCYPU	InChI=1S/C6H12N4/c7-10-9-5-6-2-1-3-8-4-6/h6,8H,1-5H2	null	C1CC(CNC1)CN=[N+]=[N-]	1.39999998	126971346;130655955;131212715	PubChem:(126971346 130655955 131212715)	2
58	1	N/A	-174.75726265957314	C6H12N4	[M + H]+	LAEGUVWXBHKKKQ	InChI=1S/C6H12N4/c1-3-7-6-8-5-10(4-2)9-6/h5H,3-4H2,1-2H3,(H,7,9)	null	CCNC1=NN(C=N1)CC	1.0	53683874	PubChem:(53683874)	2
59	1	N/A	-174.78101419566227	C6H12N4	[M + H]+	MMNOPEYIGRIMTH	InChI=1S/C6H12N4/c1-3-7-6-9-8-5-10(6)4-2/h5H,3-4H2,1-2H3,(H,7,9)	null	CCNC1=NN=CN1CC	0.400000006	112596775	PubChem:(112596775)	2
60	1	N/A	-177.00059471947023	C6H12N4	[M + H]+	ATUGFXKPPOBYMD	InChI=1S/C6H12N4/c1-3-4-7-6-8-5-9-10(6)2/h5H,3-4H2,1-2H3,(H,7,8,9)	null	CCCNC1=NC=NN1C	1.20000005	81584699	PubChem:(81584699)	2
61	1	N/A	-178.4730067954369	C6H12N4	[M + H]+	LHFPNKNOBZBKHN	InChI=1S/C6H12N4/c1-6(2,3)9-5-7-4-8-10-5/h4H,1-3H3,(H2,7,8,9,10)	null	CC(C)(C)NC1=NC=NN1	1.29999995	57813862	PubChem:(57813862)	2
62	1	N/A	-180.27570621491097	C6H12N4	[M + H]+	OANKGLPHSJRILU	InChI=1S/C6H12N4/c1-4-8-5(7)10-6(2,3)9-4/h1-3H3,(H3,7,8,9,10)	null	CC1=NC(N=C(N1)N)(C)C	-0.800000012	57940613	PubChem:(57940613)	2
63	1	N/A	-180.84443581390155	C6H12N4	[M + H]+	GXUIPYDBDXFDRS	InChI=1S/C6H12N4/c1-3-5-10(6-4-2)9-8-7/h3H,1,4-6H2,2H3	null	CCCN(CC=C)N=[N+]=[N-]	3.29999995	90040470	PubChem:(90040470)	2
64	1	N/A	-181.25873028390012	C6H12N4	[M + H]+	BGISKSHLHYGZFQ	InChI=1S/C6H12N4/c1-6(2,3)10-4-8-5(7)9-10/h4H,1-3H3,(H2,7,9)	null	CC(C)(C)N1C=NC(=N1)N	0.5	68176294	PubChem:(68176294)	2
65	1	N/A	-181.34478510487895	C6H12N4	[M + H]+	PMKOYWPWISQOKG	InChI=1S/C6H12N4/c1-5(2)6-9(3)7-8-10(6)4/h1-4H3	1,4-dimethyl-5-propan-2-ylidenetetrazole	CC(=C1N(N=NN1C)C)C	2.70000005	143235	PubChem:(143235)	2
66	1	N/A	-181.97485951425622	C6H12N4	[M + H]+	OOVZNVMGMGUBFZ	InChI=1S/C6H12N4/c7-10-9-6-2-1-4-8-5-3-6/h6,8H,1-5H2	null	C1CC(CCNC1)N=[N+]=[N-]	1.60000002	138040548	PubChem:(138040548)	2
67	1	N/A	-183.0788940104561	C6H12N4	[M + H]+	FTPCOXVAIJYJQG	InChI=1S/C6H12N4/c1-2-9-6(8)10-5-3-4-7/h2-3,5H2,1H3,(H3,8,9,10)	null	CCNC(=NCCC#N)N	-0.899999976	130716416	PubChem:(130716416)	2
68	1	N/A	-183.31115899651545	C6H12N4	[M + H]+	GHFAQBFBNARUOE	InChI=1S/C6H12N4/c1-5(2)3-10(4-7)6(8)9/h5H,3H2,1-2H3,(H3,8,9)	null	CC(C)CN(C#N)C(=N)N	0.600000024	125509953	PubChem:(125509953)	2
69	1	N/A	-184.4328173195803	C6H12N4	[M + H]+	IIPKURJGFPUPOQ	InChI=1S/C6H12N4/c1-3-4-7-6-9-8-5-10(6)2/h5H,3-4H2,1-2H3,(H,7,9)	null	CCCNC1=NN=CN1C	0.600000024	131111188	PubChem:(131111188)	2
70	1	N/A	-184.5488786170665	C6H12N4	[M + H]+	GPXPLPDQEMXRRP	InChI=1S/C6H12N4/c7-5(8)3-1-2-4-6(9)10/h1-2H,3-4H2,(H3,7,8)(H3,9,10)	null	C(C=CCC(=N)N)C(=N)N	-1.29999995	55284742	PubChem:(55284742)	2
71	1	N/A	-184.70152222814536	C6H12N4	[M + H]+	NPLBQDYVAGYOPA	InChI=1S/C6H12N4/c1-4(2)5-8-6(7)9-10(5)3/h4H,1-3H3,(H2,7,9)	1H-1,2,4-Triazol-3-amine, 1-methyl-5-(1-methylethyl)-	CC(C)C1=NC(=NN1C)N	0.800000012	12957665	PubChem:(12957665)	2
72	1	N/A	-184.70152222814536	C6H12N4	[M + H]+	VCTVUJOTOJYMIS	InChI=1S/C6H12N4/c1-4(2)5-8-6(7)10(3)9-5/h4H,1-3H3,(H2,7,8,9)	1-methyl-3-(propan-2-yl)-1H-1,2,4-triazol-5-amine	CC(C)C1=NN(C(=N1)N)C	0.800000012	50986546	PubChem:(50986546)	2
73	1	N/A	-185.00449641001762	C6H12N4	[M + H]+	ZSDQTTKRQSJXFF	InChI=1S/C6H12N4/c1-3-5(2)9-4-10-6(7)8/h4H,2-3H2,1H3,(H4,7,8,9,10)	null	CCC(=C)N=CN=C(N)N	0.200000003	137428884	PubChem:(137428884)	2
74	1	N/A	-185.7518339520339	C6H12N4	[M + H]+	CTVKXSFYBWIMAL	InChI=1S/C6H12N4/c1-6(2,3)10-5(7)8-4-9-10/h4H,1-3H3,(H2,7,8,9)	null	CC(C)(C)N1C(=NC=N1)N	0.5	62678660	PubChem:(62678660)	2
75	1	N/A	-185.8079101480295	C6H12N4	[M + H]+	MSUXJBHQMWBDDJ	InChI=1S/C6H12N4/c1-9-6(8)10(2)5-3-4-7/h3,5H2,1-2H3,(H2,8,9)	null	CN=C(N)N(C)CCC#N	-1.0	62360251	PubChem:(62360251)	2
76	1	N/A	-185.8621512476838	C6H12N4	[M + H]+	ZABSPRFVCIWHKP	InChI=1S/C6H12N4/c1-6(2)3-4(7)9-5(8)10-6/h3H2,1-2H3,(H4,7,8,9,10)	null	CC1(CC(=NC(=N1)N)N)C	-1.39999998	102483427	PubChem:(102483427)	2
77	1	N/A	-186.03038367541922	C6H12N4	[M + H]+	LEFKGUXUXUOQPZ	InChI=1S/C6H12N4/c1-5(2)10-6(8-3)9-4-7/h5H,1-3H3,(H2,8,9,10)	1-cyano-2-methyl-3-propan-2-ylguanidine	CC(C)NC(=NC)NC#N	0.400000006	20600805	PubChem:(20600805)	2
78	1	N/A	-186.1876016461651	C6H12N4	[M + H]+	CWWXOYVHTPDONS	InChI=1S/C6H12N4/c1-2-3-4-5-9-6(7)10-8/h4-5,8H2,1H3,(H3,7,9,10)	null	CC#CCCN=C(N)NN	-0.600000024	104891678	PubChem:(104891678)	2
79	1	N/A	-186.68227968359852	C6H12N4	[M + H]+	XDEOCNXROZOGPZ	InChI=1S/C6H12N4/c7-9-8-3-6-10-4-1-2-5-10/h1-6H2	Pyrrolidine, 1-(2-azidoethyl)-	C1CCN(C1)CCN=[N+]=[N-]	1.70000005	12681399	PubChem:(12681399)	2
80	1	N/A	-186.8049734530126	C6H12N4	[M + H]+	WTUXYZDHPTXWPS	InChI=1S/C6H13N4/c1-5-7-9-10(8-5)6(2,3)4/h5H,1-4H3/q+1	null	CC1N=N[N+](=N1)C(C)(C)C	2.0	57654242	PubChem:(57654242)	2
81	1	N/A	-187.74348682932145	C6H12N4	[M + H]+	CNWPODKDGNNSAI	InChI=1S/C6H12N4/c1-10-4-2-6(3-5-10)8-9-7/h6H,2-5H2,1H3	null	CN1CCC(CC1)N=[N+]=[N-]	1.70000005	95991192	PubChem:(95991192)	2
82	1	N/A	-188.50753771496164	C6H12N4	[M + H]+	LDWJKLKJDDJWPF	InChI=1S/C6H12N4/c1-3-7-9-5(1)6-2-4-8-10-6/h5-7,9H,1-4H2	3-pyrazolidin-3-yl-4,5-dihydro-3H-pyrazole	C1CNNC1C2CCN=N2	-0.100000001	20547015	PubChem:(20547015)	2
83	1	N/A	-188.55495282909223	C6H12N4	[M + H]+	ZUSWYKPQAKNINE	InChI=1S/C6H12N4/c1-2-9-6(8-1)10-4-3-7-5-10/h7H,1-5H2,(H,8,9)	null	C1CN=C(N1)N2CCNC2	-1.29999995	53818178	PubChem:(53818178)	2
84	1	N/A	-188.79500455683882	C6H12N4	[M + H]+	OXSNUKUTJIWBLH	InChI=1S/C6H12N4/c7-9-5-3-1-2-4-6(5)10-8/h1-4,7-8H2	1,2-Cyclohexanedione, dihydrazone	C1CCC(=NN)C(=NN)C1	-0.200000003	71359558;119097778	PubChem:(71359558 119097778)	2
85	1	N/A	-188.89499595707193	C6H12N4	[M + H]+	XGCYFVUZFFZBHI	InChI=1S/C6H12N4/c1-7-3-2-4-10-6-8-5-9-10/h5-7H,2-4H2,1H3	null	CNCCCN1C=NC=N1	-0.100000001	61387140	PubChem:(61387140)	2
86	1	N/A	-189.14778623832933	C6H12N4	[M + H]+	XDTKUMSWIZEMBH	InChI=1S/C6H12N4/c1-2-3-4-10-5-8-6(7)9-10/h5H,2-4H2,1H3,(H2,7,9)	null	CCCCN1C=NC(=N1)N	1.01000249	60910938	PubChem:(60910938)	2
87	1	N/A	-189.17317105358586	C6H12N4	[M + H]+	VDUQHZJBGJVLER	InChI=1S/C6H12N4/c1-2-7-3-4-10-6-8-5-9-10/h5-7H,2-4H2,1H3	null	CCNCCN1C=NC=N1	-0.100000001	53211577	PubChem:(53211577)	2
88	1	N/A	-189.3675179145952	C6H12N4	[M + H]+	MHDCDPXQCUJWCH	InChI=1S/C6H12N4/c1-2-3-4-9-6(8)10-5-7/h2-4H2,1H3,(H3,8,9,10)	1-Butyl-3-cyanoguanidine	CCCCN=C(N)NC#N	0.400000006	218734	PubChem:(218734);PubChem class - safety and toxic	67108866
89	1	N/A	-189.67744481624644	C6H12N4	[M + H]+	XMJGUMVBUOMMDW	InChI=1S/C6H12N4/c1-2-10-5-8-6(9-10)3-4-7/h5H,2-4,7H2,1H3	null	CCN1C=NC(=N1)CCN	-0.300000012	83815129	PubChem:(83815129)	2
90	1	N/A	-189.7840218677882	C6H12N4	[M + H]+	LCUOVQUWWQOJBA	InChI=1S/C6H12N4/c1-2-5-9(4-1)10-6-3-7-8-10/h1-6H2	null	C1CCN(C1)N2CCN=N2	1.39999998	129762826	PubChem:(129762826)	2
