structureRankPerFormula	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
29	1	N/A	-70.25317391548052	C6H12O4	[M + H3N + H]+	GEKIARNRRKRLRR	InChI=1S/C6H12O4/c1-2-10-5(4-7)3-6(8)9/h5,7H,2-4H2,1H3,(H,8,9)	null	CCOC(CC(=O)O)CO	-0.699999988	118643157	PubChem:(118643157)	2
30	1	N/A	-70.37506916363648	C6H12O4	[M + H3N + H]+	DHWOFZCLRKVPAX	InChI=1S/C6H12O4/c1-2-6(10,4-7)3-5(8)9/h7,10H,2-4H2,1H3,(H,8,9)	null	CCC(CC(=O)O)(CO)O	-0.42461893	""	EcoCyc Mine	17179869184
31	1	N/A	-70.60009781428519	C6H12O4	[M + H3N + H]+	IXVAZHPPPNHZPZ	InChI=1S/C6H12O4/c7-3-1-2-5(8)4-6(9)10/h5,7-8H,1-4H2,(H,9,10)	3,6-dihydroxyhexanoic acid	C(CC(CC(=O)O)O)CO	-0.899999976	22185081	PubChem:(22185081);KEGG Mine	8589934594
32	1	N/A	-70.88606129218013	C6H12O4	[M + H3N + H]+	OOJKXRODCPMZDZ	InChI=1S/C6H12O4/c1-2-4(8)6(10)5(9)3-7/h2,4-10H,1,3H2	hex-5-ene-1,2,3,4-tetrol	C=CC(C(C(CO)O)O)O	-1.10898495	10582922;10012055;15931792;18534043;21608067;58341443;88101514;87478940;102249572;129871914	PubChem:(10582922 10012055 15931792 18534043 21608067 58341443 88101514 87478940 102249572 129871914)	2
33	1	N/A	-71.64084576473284	C6H12O4	[M + H3N + H]+	VJWKCRPOTSAAQJ	InChI=1S/C6H12O4/c1-2-4(8)6(10)5(9)3-7/h2,5-10H,3H2,1H3	null	CC=C(C(C(CO)O)O)O	-1.39999998	88635552	PubChem:(88635552)	2
34	1	N/A	-71.74901362974428	C6H12O4	[M + H3N + H]+	SYURDWUTVXIZRY	InChI=1S/C6H12O4/c7-2-1-6(10)5(3-8)4-9/h5,7-9H,1-4H2	2-Butanone, 4-hydroxybis(hydroxymethyl)-	C(CO)C(=O)C(CO)CO	-2.20000005	20163305	PubChem:(20163305)	2
35	1	N/A	-71.91435209101583	C6H12O4	[M + H3N + H]+	RCXHRHWRRACBTK	InChI=1S/C6H12O4/c7-1-5(8)2-9-3-6-4-10-6/h5-8H,1-4H2	(2,3-Epoxypropoxy)propanediol	C1C(O1)COCC(CO)O	-1.5	94434;92255010;92255011;92256091;92256092	PubChem:(94434 92255010 92255011 92256091 92256092);PubMed	66
36	1	N/A	-71.98788991766888	C6H12O4	[M + H3N + H]+	LFUPTFHBGBCXDZ	InChI=1S/C6H12O4/c7-3-5(9)1-2-6(10)4-8/h1-2,5-10H,3-4H2	null	C(C(C=CC(CO)O)O)O	-2.0999999	10877275;57289575;88508901;88236687;131238471;131245116	PubChem:(10877275 57289575 88508901 88236687 131238471 131245116)	2
37	1	N/A	-72.15193220735344	C6H12O4	[M + H3N + H]+	PWSPXFDHCQHRBP	InChI=1S/C6H12O4/c1-4(2-7)5(3-8)6(9)10/h4-5,7-8H,2-3H2,1H3,(H,9,10)	null	CC(CO)C(CO)C(=O)O	-0.800000012	87753519	PubChem:(87753519)	2
38	1	N/A	-72.2597014289248	C6H12O4	[M + H3N + H]+	VMYHHNZCNXKUAO	InChI=1S/C6H12O4/c1-5(7)4-10-3-2-6(8)9/h5,7H,2-4H2,1H3,(H,8,9)	null	CC(COCCC(=O)O)O	-0.699999988	55299220	PubChem:(55299220)	2
39	1	N/A	-72.28904668358138	C6H12O4	[M + H3N + H]+	KWZUMVFIPWIRLP	InChI=1S/C6H12O4/c1-6(2,5(9)10)4(8)3-7/h4,7-8H,3H2,1-2H3,(H,9,10)	null	CC(C)(C(CO)O)C(=O)O	-0.600000024	87838940	PubChem:(87838940)	2
40	1	N/A	-72.34662034420944	C6H12O4	[M + H3N + H]+	IWSJOZHUIRKCIG	InChI=1S/C6H12O4/c7-1-2-10-6-4-9-3-5(6)8/h5-8H,1-4H2	null	C1C(C(CO1)OCCO)O	-1.5	66730507;66730508;66730509;68219097;89042601;139538577	PubChem:(66730507 66730508 66730509 68219097 89042601 139538577)	2
41	1	N/A	-73.04407304865907	C6H12O4	[M + H3N + H]+	WHRYYSSZMQDPLV	InChI=1S/C6H12O4/c7-1-5-3-10-6(2-8)4-9-5/h5-8H,1-4H2	p-Dioxane-2,5-dimethanol	C1C(OCC(O1)CO)CO	-1.5	545145;14275539;14275540;29974262	PubChem:(545145 14275539 14275540 29974262)	2
42	1	N/A	-73.27598125662855	C6H12O4	[M + H3N + H]+	GFFKZVUFWOOERJ	InChI=1S/C6H12O4/c1-4(8)2-5(9)6(10)3-7/h4,6-8,10H,2-3H2,1H3	null	CC(CC(=O)C(CO)O)O	-1.70000005	53835272;53835274;57299226	PubChem:(53835272 53835274 57299226)	2
43	1	N/A	-73.8586699175896	C6H12O4	[M + H3N + H]+	AOARZBAQANYYCX	InChI=1S/C6H12O4/c7-1-5(2-8)6(3-9)4-10/h1,5-6,8-10H,2-4H2	null	C(C(CO)C(CO)C=O)O	-2.0999999	88175103	PubChem:(88175103)	2
44	1	N/A	-73.92249469262474	C6H12O4	[M + H3N + H]+	BRCNMMGLEUILLG	InChI=1S/C6H12O4/c1-4(8)2-5(9)6(10)3-7/h5-7,9-10H,2-3H2,1H3	1-Methyl-2-deoxy-D-ribose	CC(=O)CC(C(CO)O)O	-2.0	21683149;53696787;102106218;130638028;130919862	EcoCyc Mine;PubChem:(21683149 53696787 102106218 130638028 130919862);YMDB Mine	51539607554
45	1	N/A	-74.27584799716162	C6H12O4	[M + H3N + H]+	RDIDGZFQASQXBU	InChI=1S/C6H12O4/c7-3-1-4(8)6(10)2-5(3)9/h3-10H,1-2H2	1,2,4,5-Cyclohexanetetrol	C1C(C(CC(C1O)O)O)O	-1.79999995	546000;10855621;15129557;15129558;11744780;22858013;44578209;90998442;102301451	MeSH:(546000);PubChem:(546000 10855621 15129557 15129558 11744780 22858013 44578209 90998442 102301451);PubMed	70
46	1	N/A	-74.75087540872238	C6H12O4	[M + H3N + H]+	KJMNVQUFTTURFJ	InChI=1S/C6H12O4/c7-2-1-5(4-8)3-6(9)10/h5,7-8H,1-4H2,(H,9,10)	null	C(CO)C(CC(=O)O)CO	-1.0	53682620;57421513	PubChem:(53682620 57421513)	2
47	1	N/A	-74.75913435488324	C6H12O4	[M + H3N + H]+	BTVVIBMDOCAHMJ	InChI=1S/C6H12O4/c7-1-6-4-9-2-5(8)3-10-6/h5-8H,1-4H2	null	C1C(COC(CO1)CO)O	-1.5	66886315;66886316;66886317;90046471;90046473	PubChem:(66886315 66886316 66886317 90046471 90046473)	2
48	1	N/A	-75.329102069178	C6H12O4	[M + H3N + H]+	NZUWSRANRKQFKE	InChI=1S/C6H12O4/c7-1-5(8)4-2-10-3-6(4)9/h4-9H,1-3H2	null	C1C(C(CO1)O)C(CO)O	-1.29999995	68285849	PubChem:(68285849)	2
49	1	N/A	-75.35377560020513	C6H12O4	[M + H3N + H]+	KJTLQQUUPVSXIM	InChI=1S/C6H12O4/c1-6(10,2-3-7)4-5(8)9/h7,10H,2-4H2,1H3,(H,8,9)	mevalonate	CC(CCO)(CC(=O)O)O	-1.0	449;134965;439230;4478250;5288798;9548673;12310499;12310500;12310505;12310506;12310507;46782366;91019253;101096224;101753497;119079055;131864437;132472158	HMDB:(227 59629);SuperNatural:(SN00327702);ZINC bio:(ZINC00895221 ZINC00901256);additional;HSDB:(150-97-0);MeSH:(449 439230 4478250 5288798);Plantcyc:(MEVALONATE);PubMed;NORMAN:(NS00015151);COCONUT:(CNP0201267 CNP0328110);KNApSAcK:(1195);Natural Products:(UNPD91703);PubChem:(449 134965 439230 4478250 5288798 9548673 12310499 12310500 12310505 12310506 12310507 46782366 91019253 101096224 101753497 119079055 131864437 132472158);CHEBI:(28880 25351 36464 25350 17710 18790);PubChem class - bio and metabolites;KEGG:(C00418 C02104);PubChem class - safety and toxic;YMDB:(707);Training Set;PubChem class - drug;Biocyc:(MEVALONATE CPD1A0-6096 CPD-350)	121629566
50	1	N/A	-75.42906462920506	C6H12O4	[M + H3N + H]+	SRUUYRSKNDFVMS	InChI=1S/C6H12O4/c7-2-1-5(9)3-6(10)4-8/h5,7-9H,1-4H2	null	C(CO)C(CC(=O)CO)O	-1.70000005	118054203;123151736	PubChem:(118054203 123151736)	2
51	1	N/A	-75.49057568028398	C6H12O4	[M + H3N + H]+	FZJCIJJLYXXKOC	InChI=1S/C6H12O4/c1-5(6(9)4-8)10-3-2-7/h2,5-6,8-9H,3-4H2,1H3	null	CC(C(CO)O)OCC=O	-1.29999995	123325325	PubChem:(123325325)	2
52	1	N/A	-75.6953054783658	C6H12O4	[M + H3N + H]+	SSNYZLTVIOOAGA	InChI=1S/C6H12O4/c1-5(8)3-10-4-6(9)2-7/h5,7-8H,2-4H2,1H3	null	CC(COCC(=O)CO)O	-1.10000002	88562046	PubChem:(88562046)	2
53	1	N/A	-75.90585484974585	C6H12O4	[M + H3N + H]+	DQMQAERQEBPMBA	InChI=1S/C6H12O4/c1-4(2-6(9)10)5(8)3-7/h4-5,7-8H,2-3H2,1H3,(H,9,10)	null	CC(CC(=O)O)C(CO)O	-0.800000012	57142650;130605289	PubChem:(57142650 130605289)	2
54	1	N/A	-76.26777940583256	C6H12O4	[M + H3N + H]+	MMACMUMKUSECTL	InChI=1S/C6H12O4/c1-9-5-6(4-8)10-3-2-7/h4,6-7H,2-3,5H2,1H3	null	COCC(C=O)OCCO	-1.20000005	130704227	PubChem:(130704227)	2
55	1	N/A	-76.50688288428505	C6H12O4	[M + H3N + H]+	HNPRLDIJKHZNSL	InChI=1S/C6H12O4/c7-2-1-5(9)3-6(10)4-8/h2,5-6,8-10H,1,3-4H2	2,4-Dideoxyhexopyranose	C(C=O)C(CC(CO)O)O	-1.89999998	128953;21121067;22278469	MeSH:(128953);PubChem:(128953 21121067 22278469);PubMed	70
56	1	N/A	-76.5485708793953	C6H12O4	[M + H3N + H]+	VLNMULGCQJQMTL	InChI=1S/C6H12O4/c1-2-4(8)6(10)5(9)3-7/h4,6-8,10H,2-3H2,1H3	1,3,4-trihydroxyhexan-2-one	CCC(C(C(=O)CO)O)O	-1.0	11858804;14840522;101111959;101111963;130737155	PubChem:(11858804 14840522 101111959 101111963 130737155)	2
57	1	N/A	-77.20911247096082	C6H12O4	[M + H3N + H]+	AKMQRVQHWUUBAE	InChI=1S/C6H12O4/c1-4(8)6(10)2-5(9)3-7/h4-5,7-9H,2-3H2,1H3	null	CC(C(=O)CC(CO)O)O	-1.70000005	90687831	PubChem:(90687831)	2
58	1	N/A	-77.32843734908411	C6H12O4	[M + H3N + H]+	IJXOTMLAHWKVBY	InChI=1S/C6H12O4/c1-3(6(9)10)5(8)4(2)7/h3-5,7-8H,1-2H3,(H,9,10)	null	CC(C(C(C)O)O)C(=O)O	-0.600000024	129803781	PubChem:(129803781)	2
59	1	N/A	-77.3436823163402	C6H12O4	[M + H3N + H]+	ZLCGJWCJSIFSPJ	InChI=1S/C6H12O4/c7-3-5(8)6-4-9-1-2-10-6/h5-8H,1-4H2	1,2-Ethanediol, 1-(1,4-dioxan-2-yl)-	C1COC(CO1)C(CO)O	-1.5	18671660	PubChem:(18671660)	2
60	1	N/A	-77.66357380489279	C6H12O4	[M + H3N + H]+	DXBFGULPNNFLAV	InChI=1S/C6H12O4/c7-1-5-3-9-4-6(2-8)10-5/h5-8H,1-4H2	p-Dioxane-2,6-dimethanol	C1C(OC(CO1)CO)CO	-1.5	545146;14275541;14275542;29974284	PubChem:(545146 14275541 14275542 29974284)	2
61	1	N/A	-78.26678168066451	C6H12O4	[M + H3N + H]+	JAXOYZWSTKFKML	InChI=1S/C6H12O4/c7-3-5(9)1-2-6(10)4-8/h5,7-9H,1-4H2	1,5,6-trihydroxyhexan-2-one	C(CC(=O)CO)C(CO)O	-1.70000005	22415848;53945688;88339930	PubChem:(22415848 53945688 88339930)	2
62	1	N/A	-78.39841430346104	C6H12O4	[M + H3N + H]+	XOYNVDMSELEBBP	InChI=1S/C6H12O4/c7-3-1-4-10-5-2-6(8)9/h7H,1-5H2,(H,8,9)	3-(3-hydroxypropoxy)propanoic acid	C(CO)COCCC(=O)O	-0.800000012	20322162	PubChem class - safety and toxic;PubChem:(20322162);KEGG Mine	8657043458
63	1	N/A	-78.45557916801461	C6H12O4	[M + H3N + H]+	DJQOLVAOGRCCJT	InChI=1S/C6H12O4/c1-3-10-4(2)5(7)6(8)9/h4-5,7H,3H2,1-2H3,(H,8,9)	null	CCOC(C)C(C(=O)O)O	-0.200000003	57312148;87165590	PubChem:(57312148 87165590);PubMed	66
64	1	N/A	-78.53540180345088	C6H12O4	[M + H3N + H]+	JBFPUJIRZOCCCM	InChI=1S/C6H12O4/c1-4(8)6(10)2-5(9)3-7/h4,6-8,10H,2-3H2,1H3	null	CC(C(CC(=O)CO)O)O	-1.60000002	53946201;53946202;53946203;53946204;56974720	PubChem:(53946201 53946202 53946203 53946204 56974720);PubMed	66
65	1	N/A	-78.64740254162326	C6H12O4	[M + H3N + H]+	UUYAPFVLNLJSQW	InChI=1S/C6H12O4/c7-3-5(4-8)1-2-6(9)10/h5,7-8H,1-4H2,(H,9,10)	5-hydroxy-4-(hydroxymethyl)pentanoic acid	C(CC(=O)O)C(CO)CO	-1.0	22015251	PubChem:(22015251)	2
66	1	N/A	-79.4395604631203	C6H12O4	[M + H3N + H]+	UKQKMOVEBXYMCJ	InChI=1S/C6H12O4/c7-3-4-9-10-5-6(8)1-2-6/h7-8H,1-5H2	null	C1CC1(COOCCO)O	-0.899999976	54358245	PubChem:(54358245)	2
67	1	N/A	-80.07459796857094	C6H12O4	[M + H3N + H]+	BFLQFEWZGKLNGX	InChI=1S/C6H12O4/c1-5(10)6(2-7,3-8)4-9/h2,5,8-10H,3-4H2,1H3	3-hydroxy-2,2-bis(hydroxymethyl)butanal	CC(C(CO)(CO)C=O)O	-2.0999999	23042792	PubChem:(23042792)	2
68	1	N/A	-80.19930479103172	C6H12O4	[M + H3N + H]+	JWFRNGYBHLBCMB	InChI=1S/C6H12O4/c1-4(8)6(10)5(9)2-3-7/h3-6,8-10H,2H2,1H3	boivinose	CC(C(C(CC=O)O)O)O	-1.79999995	94168;152254;258531;6857598;15558782;20055384;22793847;22818394;92237232;91469634;135056484	NORMAN:(NS00042896);COCONUT:(CNP0169464);Natural Products:(UNPD25735 UNPD108024 UNPD136219);PubChem:(94168 152254 258531 6857598 15558782 20055384 22793847 22818394 92237232 91469634 135056484);SuperNatural:(SN00238642 SN00308597 SN00268276);CHEBI:(32576 30981);MeSH:(94168 152254 22793847);PubMed;Biocyc:(CPD-17821)	3442790
69	1	N/A	-80.20925231859053	C6H12O4	[M + H3N + H]+	ZYLJWSMOZSOJIV	InChI=1S/C6H12O4/c1-2-5(6(8)9)10-4-3-7/h5,7H,2-4H2,1H3,(H,8,9)	null	CCC(C(=O)O)OCCO	-0.100000001	63073291;95008483;95008484	PubChem:(63073291 95008483 95008484)	2
70	1	N/A	-80.35155606729413	C6H12O4	[M + H3N + H]+	CPTAYIFCHWCYCO	InChI=1S/C6H12O4/c1-3(7)5(4(2)8)6(9)10/h3-5,7-8H,1-2H3,(H,9,10)	3-hydroxy-2-(1-hydroxyethyl)butanoic acid	CC(C(C(C)O)C(=O)O)O	-0.699999988	19899982	PubChem:(19899982)	2
71	1	N/A	-81.02179511975852	C6H12O4	[M + H3N + H]+	FCTMPLAPPKAQAU	InChI=1S/C6H12O4/c1-2-10-5(3-4-7)6(8)9/h5,7H,2-4H2,1H3,(H,8,9)	null	CCOC(CCO)C(=O)O	-0.300000012	63074163	PubChem:(63074163)	2
72	1	N/A	-81.05190061101358	C6H12O4	[M + H3N + H]+	HNNUXZUCXOQBFP	InChI=1S/C6H12O4/c7-3-1-2-5(9)6(10)4-8/h5,7-9H,1-4H2	null	C(CC(C(=O)CO)O)CO	-1.29999995	130143966;130634994;130783637	PubChem:(130143966 130634994 130783637)	2
73	1	N/A	-81.25170614173997	C6H12O4	[M + H3N + H]+	HQPCBOZGDZMHDT	InChI=1S/C6H12O4/c1-4(6(9)10)5(2-7)3-8/h4-5,7-8H,2-3H2,1H3,(H,9,10)	null	CC(C(CO)CO)C(=O)O	-0.800000012	117739801	PubChem:(117739801)	2
74	1	N/A	-81.75521826543766	C6H12O4	[M + H3N + H]+	CHWBYPWDTJIUHH	InChI=1S/C6H12O4/c1-5(2-7)10-4-6(9)3-8/h3,5-7,9H,2,4H2,1H3	null	CC(CO)OCC(C=O)O	-1.29999995	88463150	PubChem:(88463150)	2
75	1	N/A	-81.79658155152028	C6H12O4	[M + H3N + H]+	AYVUEVAZCRPYAP	InChI=1S/C6H12O4/c1-2-3-4(7)5(8)6(9)10/h4-5,7-8H,2-3H2,1H3,(H,9,10)	(2R)-2,3-dihydroxyhexanoic acid	CCCC(C(C(=O)O)O)O	-0.200000003	15110559;19591821;55299491;55299492;88626549	PubChem:(15110559 19591821 55299491 55299492 88626549);PubMed	66
76	1	N/A	-81.85096000520318	C6H12O4	[M + H3N + H]+	JDMCYFOMTYMVDC	InChI=1S/C6H12O4/c1-4(8)6(10)2-5(9)3-7/h5-7,9-10H,2-3H2,1H3	null	CC(=O)C(CC(CO)O)O	-1.60000002	85817880;129822033	PubChem:(85817880 129822033)	2
77	1	N/A	-82.12648612714906	C6H12O4	[M + H3N + H]+	IQCHUPKZXVMTTK	InChI=1S/C6H12O4/c7-2-1-6(3-8,4-9)5-10/h3,7,9-10H,1-2,4-5H2	null	C(CO)C(CO)(CO)C=O	-2.20000005	53929441	PubChem:(53929441)	2
